,ID,Description,human_SYMBOL,human_log2FoldChange,human_padj,human_sig,mouse_SYMBOL,mouse_log2FoldChange,mouse_padj,mouse_sig,sig
65,hsa00190,Oxidative phosphorylation,COX5A,3.069256867,1.27E-14,up,Cox5a,1.611006136,5.99E-11,up,same
66,hsa00190,Oxidative phosphorylation,COX6A1,0.184109139,0.717263268,none,Cox6a1,2.067608012,3.77E-14,up,none
67,hsa00190,Oxidative phosphorylation,COX6B1,1.80786223,1.77E-05,up,Cox6b1,2.611358363,4.79E-17,up,same
68,hsa00190,Oxidative phosphorylation,COX6B2,-9.509831392,3.57E-08,down,Cox6b2,-3.063674461,1.37E-08,down,same
69,hsa00190,Oxidative phosphorylation,COX7A1,0.830553943,0.696208285,none,Cox7a1,2.15479234,0.136116659,none,none
70,hsa00190,Oxidative phosphorylation,COX7A2,1.581841403,0.000182156,up,Cox7a2,1.794174258,3.68E-09,up,same
71,hsa00190,Oxidative phosphorylation,COX7A2L,0.690461762,0.177306981,none,Cox7a2l,4.113398195,4.38E-27,up,none
72,hsa00190,Oxidative phosphorylation,COX7B,1.295387369,0.002093686,none,Cox7b,2.3505335,3.27E-12,up,none
73,hsa00190,Oxidative phosphorylation,COX8A,1.22234516,0.010191713,none,Cox8a,0.543871368,0.089199031,none,none
74,hsa00190,Oxidative phosphorylation,COX11,3.915342473,4.19E-19,up,Cox11,-0.592036308,0.20093343,none,none
75,hsa00190,Oxidative phosphorylation,COX15,3.592112464,1.49E-10,up,Cox15,2.321409006,5.62E-22,up,same
76,hsa00190,Oxidative phosphorylation,COX17,0.482675826,0.361905892,none,Cox17,4.997132829,5.22E-30,up,none
77,hsa00190,Oxidative phosphorylation,CYCS,0.774232586,0.073545512,none,Cycs,1.130599717,0.004938381,none,none
78,hsa00190,Oxidative phosphorylation,ATP6,0.037089304,0.955913552,none,ATP6,-0.809288413,0.486650138,none,none
79,hsa00190,Oxidative phosphorylation,ATP6V1A,3.625771468,5.60E-14,up,Atp6v1a,1.659063607,2.05E-17,up,same
80,hsa00190,Oxidative phosphorylation,ATP6V1B2,1.352078706,0.019426406,none,Atp6v1b2,0.09367077,0.783529145,none,none
81,hsa00190,Oxidative phosphorylation,ATP6V1C2,1.726900785,0.001613093,up,Atp6v1c2,-2.42685108,0.031775427,down,diff
82,hsa00190,Oxidative phosphorylation,ATP6V1C1,1.480891015,0.003397105,none,Atp6v1c1,1.275066007,2.83E-07,none,none
83,hsa00190,Oxidative phosphorylation,ATP6V1D,-0.226289656,0.678151311,none,Atp6v1d,1.227843184,8.07E-05,none,none
84,hsa00190,Oxidative phosphorylation,ATP6V1E1,1.891138077,1.03E-05,up,Atp6v1e1,1.076862539,0.001364591,none,none
85,hsa00190,Oxidative phosphorylation,ATP6V1F,2.014681385,1.43E-05,up,Atp6v1f,2.322500106,5.81E-05,up,same
86,hsa00190,Oxidative phosphorylation,ATP6V1G1,2.932530211,2.18E-12,up,Atp6v1g1,1.988346626,1.88E-07,up,same
87,hsa00190,Oxidative phosphorylation,ATP6V1G2,1.377759865,0.444379095,none,Atp6v1g2,1.448138019,0.141909316,none,none
88,hsa00190,Oxidative phosphorylation,ATP6V1H,3.226238732,1.84E-12,up,Atp6v1h,1.466786322,0.000110338,none,none
89,hsa00190,Oxidative phosphorylation,TCIRG1,2.196399446,0.033326889,up,Tcirg1,-3.455704042,3.73E-17,down,diff
90,hsa00190,Oxidative phosphorylation,ATP6V0A2,1.840399921,0.001582635,up,Atp6v0a2,-2.42191067,2.01E-19,down,diff
91,hsa00190,Oxidative phosphorylation,ATP6V0A4,0.336325471,0.681913091,none,Atp6v0a4,2.851355503,8.22E-08,up,none
92,hsa00190,Oxidative phosphorylation,ATP6V0A1,-0.033147527,0.971823488,none,Atp6v0a1,1.151463701,0.003296087,none,none
93,hsa00190,Oxidative phosphorylation,ATP6V0C,-0.107111064,0.975553615,none,Atp6v0c,1.335650618,0.006264053,none,none
94,hsa00190,Oxidative phosphorylation,ATP6V0B,0.318579695,0.502740441,none,Atp6v0b,2.815922519,3.48E-11,up,none
95,hsa00190,Oxidative phosphorylation,ATP6V0D1,0.292122187,0.557376983,none,Atp6v0d1,1.192451731,5.23E-06,none,none
96,hsa00190,Oxidative phosphorylation,ATP6V0D2,-3.017814782,0.126001541,none,Atp6v0d2,-4.956405707,0.089826159,none,none
97,hsa00190,Oxidative phosphorylation,ATP6V0E1,0.192049951,0.7071148,none,Atp6v0e,0.481193874,0.036588685,none,none
98,hsa00190,Oxidative phosphorylation,ATP6V0E2,-1.013684383,0.187948581,none,Atp6v0e2,-1.171839042,0.52349862,none,none
99,hsa00190,Oxidative phosphorylation,ATP6AP1,-0.893527691,0.135529225,none,Atp6ap1,1.367913777,0.000349549,none,none
100,hsa00190,Oxidative phosphorylation,ATP4A,-2.284219679,0.540179979,none,Atp4a,1.391257178,0.106858352,none,none
101,hsa00190,Oxidative phosphorylation,ATP4B,-1.906371205,NA,NA,Atp4b,4.064650589,0.171277987,none,none
102,hsa00190,Oxidative phosphorylation,ATP12A,9.346030935,1.35E-07,up,Atp12a,3.742209425,1.21E-07,up,same
103,hsa00190,Oxidative phosphorylation,PPA2,1.938403068,3.18E-05,up,Ppa2,0.701539617,0.002436776,none,none
104,hsa00190,Oxidative phosphorylation,PPA1,1.834243773,0.000590931,up,Ppa1,0.845086136,0.000629463,none,none
105,hsa00190,Oxidative phosphorylation,LHPP,2.532340352,0.009298902,up,Lhpp,-3.047935249,0.001153279,down,diff
106,hsa00230,Purine metabolism,NUDT9,1.007649267,0.160093339,none,Nudt9,3.17827454,1.81E-09,up,none
107,hsa00230,Purine metabolism,ADPRM,0.582583013,0.439912115,none,Adprm,1.040055933,0.225934264,none,none
108,hsa00230,Purine metabolism,NUDT5,3.404801379,9.30E-17,up,Nudt5,-1.221227823,0.000909161,none,none
109,hsa00230,Purine metabolism,PGM1,2.661440347,1.76E-05,up,Pgm2,2.020515999,2.05E-07,up,same
110,hsa00230,Purine metabolism,PGM2,4.397619812,2.10E-24,up,Pgm1,2.823430887,5.98E-05,up,same
111,hsa00230,Purine metabolism,PRPS2,1.963677479,0.000629486,up,Prps2,0.991917528,0.285797251,none,none
112,hsa00230,Purine metabolism,PRPS1,0.549126959,0.379253952,none,Prps1,-0.836913502,0.011874667,none,none
113,hsa00230,Purine metabolism,PPAT,2.007891516,0.000171142,up,Ppat,-0.248530065,0.340041874,none,none
114,hsa00230,Purine metabolism,GART,2.641308466,3.23E-07,up,Gart,2.730425103,2.05E-17,up,same
115,hsa00230,Purine metabolism,PFAS,1.103446129,0.261982877,none,Pfas,2.85281003,1.24E-22,up,none
116,hsa00230,Purine metabolism,PAICS,5.181103239,2.11E-23,up,Paics,1.727019652,7.17E-14,up,same
117,hsa00230,Purine metabolism,ADSL,2.236643433,0.000727391,up,Adsl,-0.675756765,0.017068566,none,none
118,hsa00230,Purine metabolism,ATIC,3.325946508,2.03E-16,up,Atic,0.821547465,1.00E-06,none,none
119,hsa00230,Purine metabolism,APRT,4.419707451,7.12E-23,up,Aprt,1.551856375,1.51E-10,up,same
120,hsa00230,Purine metabolism,NT5C2,-0.097859773,0.916742582,none,Nt5c2,0.214990402,0.530969365,none,none
121,hsa00230,Purine metabolism,NT5C1A,-7.580623451,3.22E-05,down,Nt5c1a,-5.294213306,0.052409976,none,none
122,hsa00230,Purine metabolism,NT5C1B,-4.063912293,NA,NA,Nt5c1b,-4.962461644,0.203756829,none,none
123,hsa00230,Purine metabolism,NT5C,2.191712243,0.000925619,up,Nt5c,4.615341257,0.028959167,up,same
124,hsa00230,Purine metabolism,NT5M,-0.679007673,0.593278047,none,Nt5m,1.703060313,0.038171667,up,none
125,hsa00230,Purine metabolism,NT5E,-3.678754537,0.094543225,none,Nt5e,5.578160878,3.86E-09,up,none
126,hsa00230,Purine metabolism,PNP,1.715153056,8.78E-05,up,Pnp2,-5.310040656,2.24E-11,down,diff
127,hsa00230,Purine metabolism,PNP,1.715153056,8.78E-05,up,Pnp,-2.787516039,1.04E-35,down,diff
128,hsa00230,Purine metabolism,LACC1,-4.508620514,4.84E-11,down,Lacc1,6.391021042,4.61E-05,up,diff
129,hsa00230,Purine metabolism,HPRT1,0.012214641,0.986379263,none,Hprt,1.380083381,5.02E-05,none,none
130,hsa00230,Purine metabolism,IMPDH1,-1.948904258,2.70E-05,down,Impdh1,1.065521506,0.023255374,none,none
131,hsa00230,Purine metabolism,IMPDH2,-3.977297362,0.026388036,down,Impdh2,0.871988048,0.00045798,none,none
132,hsa00230,Purine metabolism,NME6,1.475413125,0.004419242,none,Nme6,0.841197151,0.061749368,none,none
133,hsa00230,Purine metabolism,NME7,1.00506849,0.216994462,none,Nme7,-0.180430454,0.70024672,none,none
134,hsa00230,Purine metabolism,NME2,3.464026764,0.000477298,up,Nme2,1.31264189,0.086128075,none,none
135,hsa00230,Purine metabolism,NME4,2.356499889,2.72E-06,up,Nme4,4.280871866,2.77E-18,up,same
136,hsa00230,Purine metabolism,NME1,4.34664673,1.51E-24,up,Nme1,3.793695512,2.24E-42,up,same
137,hsa00230,Purine metabolism,AK9,-3.113120832,0.000621463,down,Ak9,-1.01968576,0.155362832,none,none
138,hsa00230,Purine metabolism,ENTPD8,2.792799662,NA,NA,Entpd8,-5.617784374,0.088627026,none,none
139,hsa00230,Purine metabolism,ENTPD1,0.294258769,0.822176294,none,Entpd1,-1.427853338,0.014883631,none,none
140,hsa00230,Purine metabolism,CANT1,-0.263717139,0.722949285,none,Cant1,-1.377404844,0.000796726,none,none
141,hsa00230,Purine metabolism,ENTPD5,-0.837124067,0.284269117,none,Entpd5,-2.586599071,1.63E-10,down,none
142,hsa00230,Purine metabolism,ENTPD6,3.597859039,1.79E-11,up,Entpd6,-0.282023724,0.522631471,none,none
143,hsa00230,Purine metabolism,NUDT16,-1.346293532,0.071839588,none,Nudt16,5.894485659,0.000255536,up,none
144,hsa00230,Purine metabolism,ITPA,2.926512419,1.01E-09,up,Itpa,1.550088719,1.78E-07,up,same
145,hsa00230,Purine metabolism,XDH,3.799371009,0.126085955,none,Xdh,-6.662273367,6.69E-05,down,none
146,hsa00230,Purine metabolism,NUDT2,-0.857540587,0.148582449,none,Nudt2,2.545867019,0.001161797,up,none
147,hsa00230,Purine metabolism,GMPS,0.550603952,0.46681384,none,Gmps,0.512487617,0.079539913,none,none
148,hsa00230,Purine metabolism,GMPR,-0.19788473,0.82575712,none,Gmpr,-1.715995252,0.14934154,none,none
149,hsa00230,Purine metabolism,GMPR2,1.391773058,0.048679619,none,Gmpr2,0.783561659,0.510952145,none,none
150,hsa00230,Purine metabolism,GDA,-3.190233873,0.12253042,none,Gda,-9.060774892,1.56E-13,down,none
151,hsa00230,Purine metabolism,GUK1,2.789968123,2.97E-11,up,Guk1,1.582431112,4.32E-05,up,same
152,hsa00230,Purine metabolism,RRM1,1.661165537,0.000124529,up,Rrm1,1.981884926,1.71E-23,up,same
153,hsa00230,Purine metabolism,RRM2B,0.057239481,0.922879849,none,Rrm2b,-5.305807246,5.29E-135,down,none
154,hsa00230,Purine metabolism,RRM2,-0.503300394,0.289548282,none,Rrm2,1.240093387,2.43E-11,none,none
155,hsa00230,Purine metabolism,HDDC2,2.660418046,1.94E-09,up,Hddc2,4.595235742,1.46E-08,up,same
156,hsa00230,Purine metabolism,DGUOK,1.664897277,0.000576723,up,Dguok,0.274404503,0.593685279,none,none
157,hsa00230,Purine metabolism,DCK,0.397421521,0.536240576,none,Dck,0.051308082,0.899530072,none,none
158,hsa00230,Purine metabolism,HDDC3,3.914028726,3.18E-10,up,Hddc3,1.932815207,0.140487846,none,none
159,hsa00230,Purine metabolism,ADCY1,-2.686725918,0.069488135,none,Adcy1,-0.820626475,0.244951652,none,none
160,hsa00230,Purine metabolism,ADCY2,-2.238827907,0.422574168,none,Adcy2,-7.108221042,8.22E-18,down,none
161,hsa00230,Purine metabolism,ADCY3,-2.072958808,0.007435742,down,Adcy3,-1.725679853,0.007015421,down,same
162,hsa00230,Purine metabolism,ADCY4,-1.860645788,NA,NA,Adcy4,0.958118676,0.574014504,none,none
163,hsa00230,Purine metabolism,ADCY5,-6.980159708,6.35E-33,down,Adcy5,-8.68423779,1.89E-31,down,same
164,hsa00230,Purine metabolism,ADCY6,-6.206600007,0.003844309,down,Adcy6,-0.798962892,0.37312895,none,none
165,hsa00230,Purine metabolism,ADCY7,-7.629045025,1.82E-05,down,Adcy7,0.338738988,0.555967387,none,none
166,hsa00230,Purine metabolism,ADCY8,-2.87170592,NA,NA,Adcy8,-10.0948031,5.97E-16,down,NA
167,hsa00230,Purine metabolism,ADCY9,-5.1278735,4.69E-25,down,Adcy9,-0.533618304,0.151081645,none,none
168,hsa00230,Purine metabolism,ADCY10,1.882351509,0.024784431,up,Adcy10,-1.852854784,NA,NA,NA
169,hsa00230,Purine metabolism,GUCY1A2,-2.883975634,0.001764516,down,Gucy1a2,-5.333722817,0.000172171,down,same
170,hsa00230,Purine metabolism,GUCY2C,-5.037766902,0.177410876,none,Gucy2c,-7.06175009,1.28E-06,down,none
171,hsa00230,Purine metabolism,GUCY2D,-4.709886375,0.082342552,none,Gucy2e,-2.739118669,1.30E-10,down,none
172,hsa00230,Purine metabolism,GUCY2F,-1.906371205,NA,NA,Gucy2f,-3.497507251,NA,NA,NA
173,hsa00230,Purine metabolism,NPR1,-5.557387568,0.085294131,none,Npr1,2.536263882,6.59E-05,up,none
174,hsa00230,Purine metabolism,NPR2,-3.672310928,0.345770362,none,Npr2,5.894136115,2.60E-13,up,none
175,hsa00230,Purine metabolism,PDE1A,-7.038721722,0.00227003,down,Pde1a,-3.758498602,NA,NA,NA
176,hsa00230,Purine metabolism,PDE1B,-2.028503559,NA,NA,Pde1b,-2.839877235,8.75E-07,down,NA
177,hsa00230,Purine metabolism,PDE1C,-4.908166797,0.001529122,down,Pde1c,-8.682405565,3.52E-15,down,same
178,hsa00230,Purine metabolism,PDE2A,-1.445895287,NA,none,Pde2a,1.080791927,NA,none,none
179,hsa00230,Purine metabolism,PDE3A,-2.741036392,0.000969545,down,Pde3a,-5.812169707,8.51E-20,down,same
180,hsa00230,Purine metabolism,PDE3B,0.348738214,0.82575712,none,Pde3b,-5.338009022,1.25E-83,down,none
181,hsa00230,Purine metabolism,PDE5A,0.155537087,0.867056274,none,Pde5a,-3.938572162,0.016621191,down,none
182,hsa00230,Purine metabolism,PDE6A,-3.770103414,0.263747402,none,Pde6a,-4.568198534,3.79E-15,down,none
183,hsa00230,Purine metabolism,PDE6B,-1.8738649,0.083781195,none,Pde6b,0.281806943,0.788210417,none,none
184,hsa00230,Purine metabolism,PDE6C,-3.405204641,3.16E-06,down,Pde6c,-0.573900653,NA,none,none
185,hsa00230,Purine metabolism,PDE6D,1.157250042,0.055504369,none,Pde6d,0.128350856,0.799349278,none,none
186,hsa00230,Purine metabolism,PDE6G,3.783803608,0.000526325,up,Pde6g,-7.249180715,3.14E-06,down,diff
187,hsa00230,Purine metabolism,PDE9A,-3.286642039,6.18E-06,down,Pde9a,-3.47123169,0.000133355,down,same
188,hsa00230,Purine metabolism,PDE10A,-2.803310378,0.058078528,none,Pde10a,-9.706368036,2.31E-15,down,none
189,hsa00230,Purine metabolism,PDE11A,-5.906436673,7.84E-09,down,Pde11a,-6.8858858,1.73E-05,down,same
190,hsa00230,Purine metabolism,AMPD2,-0.723823213,0.259942335,none,Ampd2,-0.165718129,0.779434413,none,none
191,hsa00230,Purine metabolism,AMPD3,-3.793135451,0.000335038,down,Ampd3,-11.0837778,1.33E-52,down,same
192,hsa00230,Purine metabolism,AMPD1,-7.119392106,0.002230108,down,Ampd1,-2.735316667,0.000308738,down,same
193,hsa00230,Purine metabolism,ADK,3.335352219,1.38E-10,up,Adk,-1.977296011,4.57E-08,down,diff
194,hsa00230,Purine metabolism,ADA,0.981890961,0.073297566,none,Ada,-1.766438842,0.000227496,down,none
195,hsa00230,Purine metabolism,AK7,-0.722259939,0.498902147,none,Ak7,1.09418175,0.004668849,none,none
196,hsa00230,Purine metabolism,AK4,4.928143116,2.67E-32,up,Ak4,2.893046814,1.56E-22,up,same
197,hsa00230,Purine metabolism,AK5,-0.743543635,0.276658223,none,Ak5,-3.862013435,1.54E-07,down,none
198,hsa00230,Purine metabolism,AK2,2.118700711,3.07E-07,up,Ak2,2.643974276,1.77E-12,up,same
199,hsa00230,Purine metabolism,AK1,-2.064923783,0.310306652,none,Ak1,5.55651385,0.000331613,up,none
200,hsa00230,Purine metabolism,AK8,-1.677875585,0.173579081,none,Ak8,1.955289824,0.133863425,none,none
201,hsa00230,Purine metabolism,AK6,1.859373783,1.43E-05,up,Ak6,-0.740629766,0.076833402,none,none
202,hsa00230,Purine metabolism,AK3,1.305593392,0.077251766,none,Ak3,1.956707791,0.001432199,up,none
203,hsa00230,Purine metabolism,ENTPD2,-3.310401054,NA,NA,Entpd2,1.715321392,0.149318171,none,none
204,hsa00230,Purine metabolism,NTPCR,2.845585743,2.38E-08,up,Ntpcr,0.530088558,0.740699319,none,none
205,hsa00230,Purine metabolism,ENPP1,0.403379184,0.593662698,none,Enpp1,4.809568584,3.44E-13,up,none
206,hsa00230,Purine metabolism,ENPP3,-4.327950139,0.141085726,none,Enpp3,0.434782516,0.394595394,none,none
207,hsa00230,Purine metabolism,PDE4A,1.831875582,0.016951962,up,Pde4a,-0.825443294,0.206944053,none,none
208,hsa00230,Purine metabolism,PDE4B,-1.442433221,NA,none,Pde4b,-4.887216342,8.55E-06,down,none
209,hsa00230,Purine metabolism,PDE4C,-2.892483411,NA,NA,Pde4c,-4.054326214,0.00663873,down,NA
210,hsa00230,Purine metabolism,PDE7A,0.84578353,0.157884945,none,Pde7a,3.214537421,4.37E-27,up,none
211,hsa00230,Purine metabolism,PDE7B,-3.147086933,NA,NA,Pde7b,-5.491807093,0.00086855,down,NA
212,hsa00230,Purine metabolism,PDE8B,-5.957582706,1.55E-08,down,Pde8b,-5.270202793,3.38E-14,down,same
213,hsa00230,Purine metabolism,PDE8A,0.700581655,0.299645893,none,Pde8a,0.63447486,0.019336372,none,none
214,hsa00230,Purine metabolism,FHIT,-2.451284184,0.004093647,down,Fhit,-7.864414961,2.56E-07,down,same
215,hsa00230,Purine metabolism,ENPP4,3.696277918,0.0152832,up,Enpp4,-0.855464354,0.195913606,none,none
216,hsa00230,Purine metabolism,PAPSS2,1.404809145,0.124402796,none,Papss2,-1.423537281,0.017962788,none,none
217,hsa00230,Purine metabolism,PAPSS1,1.903512231,0.000390659,up,Papss1,-5.988402884,3.03E-35,down,diff
218,hsa00230,Purine metabolism,URAD,5.861843509,0.010273257,up,Urad,-0.09983414,0.97613749,none,none
219,hsa00230,Purine metabolism,ALLC,-5.927363285,0.055693078,none,Allc,3.629648323,9.78E-06,up,none
220,hsa00280,"Valine, leucine and isoleucine degradation",BCAT2,-0.467651272,0.482445675,none,Bcat2,-0.315994064,0.590653532,none,none
221,hsa00280,"Valine, leucine and isoleucine degradation",BCAT1,3.589545637,1.83E-18,up,Bcat1,2.169248422,3.27E-17,up,same
222,hsa00280,"Valine, leucine and isoleucine degradation",IL4I1,-1.15270922,0.60098565,none,Il4i1,0.99330289,0.748801173,none,none
223,hsa00280,"Valine, leucine and isoleucine degradation",BCKDHA,0.706169995,0.847540192,none,Bckdha,-3.414360394,NA,NA,none
224,hsa00280,"Valine, leucine and isoleucine degradation",BCKDHB,-0.913297142,0.296123981,none,Bckdhb,2.407073378,3.20E-09,up,none
